true_label,predicted_label,count
Pop,Folk,33
Experimental,Electronic,16
Hip-Hop,Electronic,13
Electronic,Hip-Hop,12
Pop,Experimental,11
Folk,Experimental,10
Electronic,Experimental,9
Rock,Experimental,9
Rock,Folk,9
Experimental,Folk,8
Electronic,Pop,6
Electronic,Folk,6
Experimental,Hip-Hop,6
Experimental,Rock,6
Pop,Electronic,6
Experimental,Pop,5
Pop,Rock,5
Folk,Rock,5
Hip-Hop,Experimental,4
Pop,Hip-Hop,4
Electronic,Rock,3
Hip-Hop,Folk,2
Rock,Electronic,2
Hip-Hop,Pop,2
Folk,Electronic,1
Rock,Hip-Hop,1
