model_id,generation,parent_id,val_accuracy,val_loss,train_accuracy,train_loss,test_accuracy,test_loss,epochs_trained,model_name,model_path,timestamp,dataset_csv_path,batch_size,framework,notes,learning_rate,architecture,conv_layers,conv_activations,pool_size,dense_layers,dense_activations,dropout_rates
rd_search_000,0,,0.5217612981796265,1.5470035076141355,0.6460472345352173,0.9587966799736024,,,4,rd_search_000,optimization_results/models\random_search_models\rd_search_000.keras,2026-01-04 22:34:57,data/tfrecords_64/,32,tensorflow,Random Search iteration 1,0.001,"C16k(7, 7)-C64k(3, 3)-C32k(3, 3)-C16k(7, 7)_D512","[(16, (7, 7)), (64, (3, 3)), (32, (3, 3)), (16, (7, 7))]","['selu', 'selu', 'relu', 'selu']","(2, 2)",[512],['relu'],"[0.0, 0.0, 0.1, 0.1]"
rd_search_001,0,,0.5555933117866516,1.2843997478485107,0.7381271719932556,0.7150961756706238,,,7,rd_search_001,optimization_results/models\random_search_models\rd_search_001.keras,2026-01-04 23:10:00,data/tfrecords_64/,32,tensorflow,Random Search iteration 2,0.0005,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.0, 0.2, 0.2]"
rd_search_002,0,,0.0,999.0,0.0,999.0,,,0,,optimization_results/models\random_search_models\rd_search_002.keras,2026-01-04 23:10:03,data/tfrecords_64/,32,tensorflow,Random Search iteration 3,0.0005,"C64k(7, 7)-C32k(7, 7)-C16k(3, 3)-C32k(5, 5)_D256-D512","[(64, (7, 7)), (32, (7, 7)), (16, (3, 3)), (32, (5, 5))]","['relu', 'relu', 'relu', 'elu']","(3, 3)","[256, 512]","['selu', 'elu']","[0.1, 0.2, 0.2, 0.1]"
rd_search_003,0,,0.0,999.0,0.0,999.0,,,0,,optimization_results/models\random_search_models\rd_search_003.keras,2026-01-04 23:10:05,data/tfrecords_64/,32,tensorflow,Random Search iteration 4,0.01,"C32k(7, 7)-C64k(3, 3)-C32k(3, 3)-C64k(5, 5)_D256-D128-D512","[(32, (7, 7)), (64, (3, 3)), (32, (3, 3)), (64, (5, 5))]","['elu', 'relu', 'relu', 'selu']","(3, 3)","[256, 128, 512]","['elu', 'selu', 'elu']","[0.1, 0.2, 0.1, 0.1]"
rd_search_004,0,,0.5176810622215271,1.3282910585403442,0.6483328938484192,0.950977623462677,,,4,rd_search_004,optimization_results/models\random_search_models\rd_search_004.keras,2026-01-04 23:39:14,data/tfrecords_64/,32,tensorflow,Random Search iteration 5,0.0005,"C32k(7, 7)-C128k(7, 7)_D512","[(32, (7, 7)), (128, (7, 7))]","['relu', 'elu']","(3, 3)",[512],['selu'],"[0.3, 0.4]"
rd_search_005,0,,0.4818089008331299,1.4550306797027588,0.5388745665550232,1.2155364751815796,,,7,rd_search_005,optimization_results/models\random_search_models\rd_search_005.keras,2026-01-05 01:00:02,data/tfrecords_64/,32,tensorflow,Random Search iteration 6,0.005,"C64k(3, 3)-C64k(5, 5)-C32k(5, 5)_D256-D128-D64","[(64, (3, 3)), (64, (5, 5)), (32, (5, 5))]","['relu', 'selu', 'selu']","(2, 2)","[256, 128, 64]","['selu', 'elu', 'selu']","[0.4, 0.4, 0.1]"
rd_search_006,0,,0.5351921319961548,1.267173409461975,0.6058484315872192,1.0529171228408811,,,7,rd_search_006,optimization_results/models\random_search_models\rd_search_006.keras,2026-01-05 01:07:51,data/tfrecords_64/,32,tensorflow,Random Search iteration 7,0.001,"C16k(5, 5)-C64k(3, 3)-C16k(3, 3)_D512","[(16, (5, 5)), (64, (3, 3)), (16, (3, 3))]","['selu', 'relu', 'relu']","(3, 3)",[512],['relu'],"[0.4, 0.1, 0.1]"
gen1_model_000_baseline,1,,0.5579735040664673,1.28536856174469,0.7175198793411255,0.773651123046875,,,6,gen1_model_000_baseline,optimization_results/models\neuro_evolution_models\gen1_model_000_baseline.keras,2026-01-05 01:33:54,data/tfrecords_64/,32,tensorflow,"Generation 1, model 1/4",0.0005,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.0, 0.2, 0.2]"
gen1_model_001,1,baseline,0.5540632605552673,1.259624719619751,0.718100368976593,0.7721560597419739,,,6,gen1_model_001,optimization_results/models\neuro_evolution_models\gen1_model_001.keras,2026-01-05 01:59:49,data/tfrecords_64/,32,tensorflow,"Generation 1, model 2/4",0.0005,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.0, 0.2, 0.2]"
gen1_model_002,1,baseline,0.536212146282196,1.321125030517578,0.807205319404602,0.5386279225349426,,,6,gen1_model_002,optimization_results/models\neuro_evolution_models\gen1_model_002.keras,2026-01-05 02:30:30,data/tfrecords_64/,32,tensorflow,"Generation 1, model 3/4",0.0002657756950052,"C32k(7, 7)-C128k(5, 5)-C64k(7, 7)_D64","[(32, (7, 7)), (128, (5, 5)), (64, (7, 7))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.0, 0.2, 0.2]"
gen1_model_003,1,baseline,0.564603865146637,1.2710336446762085,0.7210390567779541,0.7576627135276794,0.5441760420799255,1.2489882707595825,7,gen1_model_003,optimization_results/models\neuro_evolution_models\gen1_model_003.keras,2026-01-05 03:00:43,data/tfrecords_64/,32,tensorflow,"Generation 1, model 4/4",0.0003492338865437,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64-D512","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)","[64, 512]","['elu', 'elu']","[0.0, 0.2, 0.2]"
gen2_model_000_elite,2,baseline,0.5535532236099243,1.2792874574661257,0.7217283844947815,0.7583675980567932,,,7,gen2_model_000_elite,optimization_results/models\neuro_evolution_models\gen2_model_000_elite.keras,2026-01-05 03:31:00,data/tfrecords_64/,32,tensorflow,"Generation 2, model 1/4",0.0003492338865437,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64-D512","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)","[64, 512]","['elu', 'elu']","[0.0, 0.2, 0.2]"
gen2_model_001,2,gen1_model_000_baseline,0.5363821983337402,1.2735872268676758,0.6642600297927856,0.9067128896713256,,,7,gen2_model_001,optimization_results/models\neuro_evolution_models\gen2_model_001.keras,2026-01-05 03:59:33,data/tfrecords_64/,32,tensorflow,"Generation 2, model 2/4",0.0005,"C32k(7, 7)-C128k(5, 5)-C16k(3, 3)_D64","[(32, (7, 7)), (128, (5, 5)), (16, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.0, 0.2, 0.2]"
gen2_model_002,2,gen1_model_000_baseline,0.5600135922431946,1.2529476881027222,0.7071799039840698,0.8049458861351013,,,7,gen2_model_002,optimization_results/models\neuro_evolution_models\gen2_model_002.keras,2026-01-05 04:30:24,data/tfrecords_64/,32,tensorflow,"Generation 2, model 3/4",0.0005,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.3, 0.2, 0.2]"
gen2_model_003,2,gen1_model_000_baseline,0.5489629507064819,1.3148653507232666,0.749083936214447,0.6932547092437744,,,4,gen2_model_003,optimization_results/models\neuro_evolution_models\gen2_model_003.keras,2026-01-05 05:00:26,data/tfrecords_64/,32,tensorflow,"Generation 2, model 4/4",0.0004725308691209,"C128k(5, 5)-C64k(3, 3)-C128k(7, 7)_D64","[(128, (5, 5)), (64, (3, 3)), (128, (7, 7))]","['elu', 'relu', 'selu']","(3, 3)",[64],['elu'],"[0.2, 0.2, 0.1]"
gen3_model_000_elite,3,gen1_model_000_baseline,0.5467528104782104,1.2808623313903809,0.695932924747467,0.8353409171104431,,,6,gen3_model_000_elite,optimization_results/models\neuro_evolution_models\gen3_model_000_elite.keras,2026-01-05 05:26:54,data/tfrecords_64/,32,tensorflow,"Generation 3, model 1/4",0.0005,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[64],['elu'],"[0.3, 0.2, 0.2]"
gen3_model_001,3,gen2_model_000_elite,0.0,999.0,0.0,999.0,,,7,gen2_model_000_elite,optimization_results/models\neuro_evolution_models\gen3_model_001.keras,2026-01-05 05:26:56,data/tfrecords_64/,32,tensorflow,"Generation 3, model 2/4",0.0003492338865437,"C32k(7, 7)-C128k(5, 5)-C64k(7, 7)-C32k(7, 7)_D64-D512","[(32, (7, 7)), (128, (5, 5)), (64, (7, 7)), (32, (7, 7))]","['relu', 'elu', 'relu', 'elu']","(3, 3)","[64, 512]","['elu', 'elu']","[0.0, 0.2, 0.2, 0.1]"
gen3_model_002,3,gen2_model_000_elite,0.5374022722244263,1.3156126737594604,0.6642600297927856,0.9078113436698914,,,4,gen3_model_002,optimization_results/models\neuro_evolution_models\gen3_model_002.keras,2026-01-05 05:43:55,data/tfrecords_64/,32,tensorflow,"Generation 3, model 3/4",0.0004041602954543,"C32k(7, 7)-C128k(5, 5)-C64k(3, 3)_D64-D512","[(32, (7, 7)), (128, (5, 5)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)","[64, 512]","['elu', 'elu']","[0.0, 0.2, 0.2]"
gen3_model_003,3,gen2_model_002,0.5511730909347534,1.3069216012954712,0.7450205087661743,0.6962355971336365,,,6,gen3_model_003,optimization_results/models\neuro_evolution_models\gen3_model_003.keras,2026-01-05 06:23:58,data/tfrecords_64/,32,tensorflow,"Generation 3, model 4/4",0.0005,"C32k(7, 7)-C128k(7, 7)-C64k(3, 3)_D128","[(32, (7, 7)), (128, (7, 7)), (64, (3, 3))]","['relu', 'elu', 'relu']","(3, 3)",[128],['elu'],"[0.0, 0.2, 0.2]"
